userId,zonePincode,zoneLat,zoneLng,cityCluster,platform,avgWeeklyHours,claimHistoryCount,currentMonth,zoneRiskScore,truePremiumMultiplier
d7dd7989-9975-4a92-ad5a-f53c795e01fe,400072,19.165419890406724,72.83856167224336,mumbai,zomato,56.0,2,12,1.164,1.1079
d9a7fdc6-5728-403f-9849-abb5bef3eaf6,110092,28.65546809019707,77.3024848448592,delhi,swiggy,62.1,1,4,1.0437,1.0948
56533bc1-864d-474a-bd8f-6bc28c8d8275,400601,19.220537057894447,72.97078987721304,mumbai,zomato,18.6,0,11,1.0546,0.9977
ffe09294-acbc-49e3-852d-11de2a62ea79,600001,13.0736290082544,80.27285089703804,chennai,zomato,33.1,2,10,1.0697,1.151
440217da-2822-44cf-b1b2-4400a763acf2,380052,23.077084660530243,72.5156030498748,ahmedabad,zomato,42.8,0,1,0.8693,0.942
5b45acfb-5ed7-4bcd-b534-e24a694f530d,400070,19.139650445687078,72.82283422152179,mumbai,swiggy,37.3,0,4,1.2395,1.0857
69fff801-1cc3-47c0-8b57-718098b896ec,560100,13.04519169255529,77.60250265646722,bangalore,amazon,83.3,0,1,0.9369,0.9724
1d4c2a42-9d2a-429f-99b2-2066d4ea4a86,600001,13.07812698063548,80.27727475018304,chennai,swiggy,52.1,0,12,0.9708,0.9639
43c1c442-7d06-4042-b6f8-487b75b1ce65,600001,13.088743939615082,80.2621910128736,chennai,blinkit,33.8,1,4,1.0791,0.9812
9e2a0266-716a-4c87-8867-06f26967ab6a,560001,12.978862068517513,77.59706596253655,bangalore,amazon,60.7,2,5,0.9345,1.0362
9f5bf417-7313-49df-ad80-16e566156f8f,400001,18.943392123566763,72.8381511494271,mumbai,swiggy,44.2,1,12,1.1964,1.0628
ab6651fb-53c2-4d80-8136-1a5a658ce393,380052,23.074625543951388,72.52221934359909,ahmedabad,zepto,62.0,0,5,0.9098,1.0312
49323283-a054-4a92-9f25-83bdfad18a5b,400601,19.210457828539866,72.96862858371372,mumbai,swiggy,90.0,1,6,1.0291,1.2424
c8ab9bbc-3b5e-4c2c-9703-cb1abe8d01e9,400072,19.16687596330983,72.83893959819657,mumbai,zomato,62.5,2,7,1.1241,1.3
e78f61bb-757d-47dc-b69c-4a494ba31cb1,400072,19.180151179969798,72.84818684483831,mumbai,zepto,40.3,5,6,1.1149,1.2655
e14a696f-e265-42c4-9d41-3df3ec2e7c3e,600040,13.008414611665128,80.24663904261062,chennai,zepto,46.1,0,1,1.0154,0.9824
a598acfa-712d-4114-bb93-0b95cd91adeb,560001,12.963997307346673,77.59135230342807,bangalore,amazon,18.1,0,2,0.9419,0.8366
